# Test Config Name: RvRvO 5G US
# Application: Throughput
# Duration: 30
# Estimated Duration: 6097 [s]
# Settling Time: 5
# Reporting Interval: 1
# Traffic Pair 1 (Traffic 1): From: 192.168.1.50@PL5-90130-05 (192.168.1.50) To: 192.168.1.28@server (192.168.1.28)
# Pal Endpoint 1: 192.168.1.50 (192.168.1.50@PL5-90130-05)
# Pal Stats Endpoint 1: 169.254.26.5
# Attenuation 1: 169.254.20.11 (Pal5)
# Turntable 1: 169.254.24.7 (TT)
# CSV Format Version: 1.0

Test Run, Time [ms], Position [Deg], Attenuation 1 [dB], MPE State, Traffic Pair 1 Protocol, Traffic Pair 1 Throughput [Mbps], Traffic Pair 1 Jitter [ms], Traffic Pair 1 Packets, Traffic Pair 1 Lost Packets, Traffic Pair 1 Lost Percent [%], Test Status, Pal Stats Endpoint 1 Mode, Pal Stats Endpoint 1 Association Status, Pal Stats Endpoint 1 Association Channel, Pal Stats Endpoint 1 Control Rssi [dBm], Pal Stats Endpoint 1 Data Rssi [dBm], Pal Stats Endpoint 1 Rx Rate [Mbps], Pal Stats Endpoint 1 Tx Rate [Mbps], Pal Stats Endpoint 1 Congestion [%], Pal Stats Endpoint 1 vsta Association Count, Pal Stats Endpoint 1 vsta Total Count, Pal Stats Endpoint 1 BSSID, Pal Stats Endpoint 1 Downlink, Pal Stats Endpoint 1 Uplink, Pal Stats Endpoint 1 Cumulative Throughput, Pal Stats Endpoint 1 Ch0 Rssi, Pal Stats Endpoint 1 Ch1 Rssi, Pal Stats Endpoint 1 Ch2 Rssi, Pal Stats Endpoint 1 Ch3 Rssi, Pal Stats Endpoint 1 Scanning Channel, Pal Stats Endpoint 1 RxBw [MHz], Pal Stats Endpoint 1 TxBw [MHz], Pal Stats Endpoint 1 RxBw Packet Count, Pal Stats Endpoint 1 TxBw Packet Count, Pal Stats Endpoint 1 RxNss, Pal Stats Endpoint 1 TxNss, Pal Stats Endpoint 1 RxNss Packet Count, Pal Stats Endpoint 1 TxNss Packet Count, Pal Stats Endpoint 1 RxMCS, Pal Stats Endpoint 1 TxMCS, Pal Stats Endpoint 1 RxMCS Count, Pal Stats Endpoint 1 TxMCS Count
1, 2000, 0, 0, #N/A, TCP, 655, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -40, -48, 1300, 1560, 93.29, 1, 1, 70:0b:01:f6:48:87, 3, 714, 717, -50, -57, -55, -61, #N/A, 80, 80, 392, 548, 4, 4, 380, 481, 7, 8, 187, 278
1, 3000, 0, 0, #N/A, TCP, 728, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -39, -47, 1560, 1300, 88.87, 1, 1, 70:0b:01:f6:48:87, 4, 763, 767, -48, -55, -54, -60, #N/A, 80, 80, 340, 362, 4, 4, 338, 362, 8, 8, 286, 227
1, 4000, 0, 0, #N/A, TCP, 671, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -40, -48, 1404, 1053, 90.31, 1, 1, 70:0b:01:f6:48:87, 3, 725, 728, -50, -57, -54, -61, #N/A, 80, 80, 483, 524, 4, 4, 473, 506, 8, 9, 391, 216
1, 5000, 0, 0, #N/A, TCP, 724, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -41, -48, 1300, 1560, 93.37, 1, 1, 70:0b:01:f6:48:87, 4, 760, 764, -50, -57, -55, -61, #N/A, 80, 80, 419, 536, 4, 4, 302, 496, 9, 8, 452, 297
1, 6000, 0, 0, #N/A, TCP, 647, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -41, -48, 1300, 1170, 88.98, 1, 1, 70:0b:01:f6:48:87, 4, 679, 683, -50, -57, -55, -61, #N/A, 80, 80, 251, 369, 3, 4, 224, 255, 9, 9, 224, 214
1, 7000, 0, 0, #N/A, TCP, 677, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -39, -48, 1300, 1300, 89.43, 1, 1, 70:0b:01:f6:48:87, 4, 728, 732, -50, -57, -55, -61, #N/A, 80, 80, 246, 351, 3, 4, 232, 319, 9, 8, 232, 221
1, 8000, 0, 0, #N/A, TCP, 691, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -38, -48, 1733, 1300, 89.99, 1, 1, 70:0b:01:f6:48:87, 3, 740, 743, -50, -57, -55, -61, #N/A, 80, 80, 502, 490, 4, 4, 357, 400, 9, 8, 314, 228
1, 9000, 0, 0, #N/A, TCP, 692, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -40, -47, 1560, 1053, 90.88, 1, 1, 70:0b:01:f6:48:87, 3, 711, 714, -47, -54, -52, -58, #N/A, 80, 80, 274, 346, 4, 4, 264, 303, 8, 8, 226, 150
1, 10000, 0, 0, #N/A, TCP, 657, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -40, -47, 1560, 1300, 91.26, 1, 1, 70:0b:01:f6:48:87, 3, 698, 701, -47, -55, -52, -59, #N/A, 80, 80, 405, 490, 4, 4, 393, 365, 8, 9, 314, 211
1, 11000, 0, 0, #N/A, TCP, 656, #N/A, #N/A, #N/A, #N/A, Delay (sat), station, Associated, 44-[36 40 44 48], -40, -47, 1560, 1053, 92.87, 1, 1, 70:0b:01:f6:48:87, 3, 694, 697, -47, -55, -52, -59, #N/A, 80, 80, 204, 364, 4, 4, 200, 315, 9, 8, 166, 244
